title,country,date,points,link,img
The One,world,2021-03-18,470,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
The Lost Pirate Kingdom,world,2021-03-18,425,https://flixpatrol.com/title/the-lost-pirate-kingdom/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gqzpvysbt5fgyvyrsjuwqa2xiay.jpg
Snowpiercer,world,2021-03-18,412,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
Behind Her Eyes,world,2021-03-18,205,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Zero Chill,world,2021-03-18,179,https://flixpatrol.com/title/zero-chill/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/y369itgag9op0ffhegm83wnujfc.jpg
Love Alarm,world,2021-03-18,154,https://flixpatrol.com/title/love-alarm/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/s87jyawtrlllmsywxted1l8henb.jpg
Paradise PD,world,2021-03-18,131,https://flixpatrol.com/title/paradise-pd/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dessj4kx0y9p61vm9qbe3wm8gxk.jpg
The Bold Type,world,2021-03-18,126,https://flixpatrol.com/title/the-bold-type/,https://flixpatrol.com/runtime/cache/files/posters/2/w72/2etaedu5q78pgyrvzsxnwtxg8dm.jpg
Ginny & Georgia,world,2021-03-19,573,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
New Amsterdam,world,2021-03-19,486,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
The One,world,2021-03-19,434,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
The Lost Pirate Kingdom,world,2021-03-19,356,https://flixpatrol.com/title/the-lost-pirate-kingdom/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gqzpvysbt5fgyvyrsjuwqa2xiay.jpg
Riverdale,world,2021-03-19,354,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
Snowpiercer,world,2021-03-19,270,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
Zero Chill,world,2021-03-19,210,https://flixpatrol.com/title/zero-chill/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/y369itgag9op0ffhegm83wnujfc.jpg
Behind Her Eyes,world,2021-03-19,173,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Love Alarm,world,2021-03-19,132,https://flixpatrol.com/title/love-alarm/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/s87jyawtrlllmsywxted1l8henb.jpg
Vincenzo,world,2021-03-19,114,https://flixpatrol.com/title/vincenzo/,https://flixpatrol.com/runtime/cache/files/posters/d/w72/dvxjgedqxhl9ouot2wkbhpqihgd.jpg
Ginny & Georgia,world,2021-03-20,561,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
New Amsterdam,world,2021-03-20,473,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
Formula 1: Drive to Survive,world,2021-03-20,410,https://flixpatrol.com/title/formula-1-drive-to-survive/,https://flixpatrol.com/runtime/cache/files/posters/h/w72/hzzpqv9bko9tummqy54hijcgyqx.jpg
The One,world,2021-03-20,396,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
Riverdale,world,2021-03-20,306,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
Sky Rojo,world,2021-03-20,233,https://flixpatrol.com/title/sky-rojo/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/5o2iqcgwztvsfohice6ptgi3r1f.jpg
The Lost Pirate Kingdom,world,2021-03-20,227,https://flixpatrol.com/title/the-lost-pirate-kingdom/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gqzpvysbt5fgyvyrsjuwqa2xiay.jpg
Zero Chill,world,2021-03-20,167,https://flixpatrol.com/title/zero-chill/,https://flixpatrol.com/runtime/cache/files/posters/y/w72/y369itgag9op0ffhegm83wnujfc.jpg
Snowpiercer,world,2021-03-20,163,https://flixpatrol.com/title/snowpiercer-2020/,https://flixpatrol.com/runtime/cache/files/posters/9/w72/95xqpsqwvqdrob3rxun4lryjrbw.jpg
Behind Her Eyes,world,2021-03-20,134,https://flixpatrol.com/title/behind-her-eyes/,https://flixpatrol.com/runtime/cache/files/posters/s/w72/sfd90nif778kobfmpdbtow4xtm7.jpg
Ginny & Georgia,world,2021-03-21,561,https://flixpatrol.com/title/ginny-georgia/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/e4aqizyq8eetgnzmq6wiffqozbz.jpg
New Amsterdam,world,2021-03-21,467,https://flixpatrol.com/title/new-amsterdam/,https://flixpatrol.com/runtime/cache/files/posters/v/w72/vxdupgswkkfizwp8ypdcmabmv4l.jpg
Formula 1: Drive to Survive,world,2021-03-21,433,https://flixpatrol.com/title/formula-1-drive-to-survive/,https://flixpatrol.com/runtime/cache/files/posters/h/w72/hzzpqv9bko9tummqy54hijcgyqx.jpg
The One,world,2021-03-21,397,https://flixpatrol.com/title/the-one-2021/,https://flixpatrol.com/runtime/cache/files/posters/k/w72/kll9vbirdeesltjhn83pcncvguz.jpg
Riverdale,world,2021-03-21,318,https://flixpatrol.com/title/riverdale/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gskv297rlbyzlatu1xzf8ubbxp0.jpg
