title,country,date,points,link,img
Death to 2020,world,2021-01-11,171,https://flixpatrol.com/title/death-to-2020/,https://flixpatrol.com/runtime/cache/files/posters/w/w72/w9fpfspkeibdn6wwdhfgniwdvjm.jpg
Tower Heist,world,2021-01-11,151,https://flixpatrol.com/title/tower-heist/,https://flixpatrol.com/runtime/cache/files/posters/z/w72/ze2trl2nhulolimimvbkjjid3yg.jpg
Asphalt Burning,world,2021-01-11,129,https://flixpatrol.com/title/asphalt-burning/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/f4xfu5burddeogt3j6drqgnjfzk.jpg
The Grinch,world,2021-01-11,104,https://flixpatrol.com/title/the-grinch/,https://flixpatrol.com/runtime/cache/files/posters/r/w72/rwqvj6z8kpdsbt7xpjvbcltxq90.jpg
The Midnight Sky,world,2021-01-11,98,https://flixpatrol.com/title/the-midnight-sky/,https://flixpatrol.com/runtime/cache/files/posters/5/w72/51jxck77zcqlzblkrdl9qho6kuh.jpg
The Emoji Movie,world,2021-01-11,91,https://flixpatrol.com/title/the-emoji-movie/,https://flixpatrol.com/runtime/cache/files/posters/f/w72/fvr5etd00qupul0yctvfz8msjca.jpg
Dracula Untold,world,2021-01-11,87,https://flixpatrol.com/title/dracula-untold/,https://flixpatrol.com/runtime/cache/files/posters/4/w72/4oy4e0dp6lrwrszfx8ny8eybj8v.jpg
Pieces of a Woman,world,2021-01-12,621,https://flixpatrol.com/title/pieces-of-a-woman/,https://flixpatrol.com/runtime/cache/files/posters/o/w72/ogufllhfbfx5bpk6lzbwfvbw1w.jpg
We Can Be Heroes,world,2021-01-12,621,https://flixpatrol.com/title/we-can-be-heroes-2020/,https://flixpatrol.com/runtime/cache/files/posters/g/w72/gzy5hezrl40zmejmexjwkazqluz.jpg
Room,world,2021-01-12,160,https://flixpatrol.com/title/room/,https://flixpatrol.com/runtime/cache/files/posters/e/w72/eqfckchufct1frzloavxbb4jhwq.jpg
